Change,Description,MultipleCompulsory,Department,Number,Grade,Class,Name,Url,Credit,YearSemester,CompulsoryElective,Restrict,Select,Selected,Remaining,Teacher,Room,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Context,Programs,EMI
,,,運動健康(必),GEPE103,0,,運動與健康：初級游泳,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=3&CrsDat=GEPE103&Crsname=運動與健康：初級游泳,1,期,必,50,4,0,50,林宗正,游泳池,,234,234,,,,,《體育類》★上課日期：7/11(二)~8/16(三)共計6週。 永續海洋休閒運動產業學程,'永續海洋休閒運動產業學程',0
,,,運動健康(必),GEPE203,0,,運動與健康：初級潛水,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=3&CrsDat=GEPE203&Crsname=運動與健康：初級潛水,1,期,必,35,1,0,35,林宗正,游泳池,,678,678,,,,,《體育類》★上課日期：7/11(二)~8/16(三)共計6週，人數超過時，依繳費時間前35名為準。【本課程不開放準大學生修習】 永續海洋休閒運動產業學程,'永續海洋休閒運動產業學程',0
,,,普通物理小組,PHY102,0,,普通物理（一）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=3&CrsDat=PHY102&Crsname=普通物理（一）,3,期,必,50,5,0,50,黃旭明,理PH 2006,,234,234,234,,,,《講授類》7/10(一)~8/18(五)，共計6週。本課程無法抵免英語專班普通物理。,,0
,,,跨院選修(通),GEAI1029,0,,地方創生議題探討,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=3&CrsDat=GEAI1029&Crsname=地方創生議題探討,3,期,選,50,4,0,50,"吳亦昕,伊藤佳代",,12345678CD,12345678CD,12345678CD,1234,,12345678CD,12345678CD,《講授類》1. 須具備英、日語溝通能力並經授課老師面試後方能選課(須6/2前寄信報名)，不開放準大學生修習 2. 參加者須繳交約5千元食宿費用 3. 本校生不收學分費，惟學士班延修生及外校生仍須繳學分費※英語授課地方創生與區域治理微學程,'地方創生與區域治理微學程',1
,,,服務學習,GESL414,2,,服務學習：弱勢偏鄉服務夏令營,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=3&CrsDat=GESL414&Crsname=服務學習：弱勢偏鄉服務夏令營,1,期,必,30,8,0,30,葉博弘,,,1234B56789C,1234B5678,,,,,《服務學習類》1.須參加6/1說明會(18:30/GE1008)及符合條件方能選課，不開放準大學生修習 2.本校生不收學分費，惟學士班延修生及外校生仍須繳學分費 3.選上即算學期成績，未於選課期間辦退選又未到課，有未通過成績 4.7/11及18校內上課，7/25-26前往臺東大王國小服務,,0
,,,化學系,CHEM105,1,,微積分（一）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=3&CrsDat=CHEM105&Crsname=微積分（一）,3,期,選,50,10,0,50,張福春,理SC 1005,234,234,,234,,,,《講授類》為符合各系抵免標準，本課程授課內容為理工學院程度，非理、工、海洋學院學生如欲選修請謹慎考量。應數系及英語班學生不可選修。★上課日期：7/10(一)~8/17(四)共計6週。,,0
,,,化學系,CHEM106,1,,微積分（二）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=3&CrsDat=CHEM106&Crsname=微積分（二）,3,期,選,50,2,0,50,莊秉樺,理SC 1005,567,,567,567,,,,《講授類》為符合各系抵免標準，本課程授課內容為理工學院程度，非理、工、海洋學院學生如欲選修請謹慎考量。應數系及英語班學生不可選修。★上課日期：7/10(一)~8/17(四)共計6週。,,0
,,,電機系,EE2100,2,,電子學（一）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=3&CrsDat=EE2100&Crsname=電子學（一）,3,期,選,50,4,0,50,馬誠佑,工EC 3009,234,,234,,234,,,《講授類》★上課日期：7/10(一)~8/18(五)，共計6週。【本課程不開放準大學生修習，僅限重修生修習】半導體製程模組學程,'半導體製程模組學程',0
,,,電機系,EE4011,0,,電機工程國際研習,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=3&CrsDat=EE4011&Crsname=電機工程國際研習,1,期,選,50,0,0,50,謝耀慶,工EC 6013,A,A,A,,,,,《演講/參訪》本課程為日本參訪實習，限參與出國學生修習。★上課日期：7/10(一)~8/18(五)共計6週。【本課程不開放準大學生修習】。,,0
,,,財管系,FM203,0,,中級會計學（一）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=3&CrsDat=FM203&Crsname=中級會計學（一）,3,期,選,50,1,0,50,林玉華,管CM 2015,,234,234,234,,,,《講授類》限修畢初級會計學(一)(二)且為「中級會計學(一)」重修者修課。★上課日期：7/10(一)~8/15(五)，共6週。【本課程不開放準大學生修習】會計學程,'會計學程',0
,,,人科學程,PIS1014,1,,永續工程與智慧城市實踐,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=3&CrsDat=PIS1014&Crsname=永續工程與智慧城市實踐,1,期,選,50,7,0,50,"楊政融,夏晧清",,234567,234567,234567,,,,,《講授類》本課程為不倫瑞克及柏林研修課程，限已申請通過學生修習。上課日期：7/3(一)~7/7(三)共計1週。【本課程不開放準大學生修習】,,0
異動,調整合授教師6/6,,人科學程,PIS2001,1,,跨領域探索,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=3&CrsDat=PIS2001&Crsname=跨領域探索,1,期,必,50,6,0,50,"張淑美,夏晧清,宋世祥,楊政融,謝如梅",,,,,,,234567,234567,《講授類》1.限人科學程學生修習2.不開放準大學生修習；本校生修習不收學分費，惟學士班延修生及他校生仍須繳學分費。3.選上即算學期成績，未於選課期間辦理退選又未到課者，有未通過之成績。,,0
異動,調整合授教師6/6,,人科學程,PIS3001,2,,跨領域實作,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=3&CrsDat=PIS3001&Crsname=跨領域實作,1,期,必,50,17,0,50,"宋世祥,夏晧清,張淑美,楊政融,謝如梅",,,,,,,234567,234567,《講授類》1.限人科學程學生修習2.不開放準大學生修習；本校生修習不收學分費，惟學士班延修生及他校生仍須繳學分費。3.選上即算學期成績，未於選課期間辦理退選又未到課者，有未通過之成績。,,0
異動,調整授課教師6/6,,人科學程,PIS4001,3,,跨領域產業合作,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=3&CrsDat=PIS4001&Crsname=跨領域產業合作,1,期,必,50,10,0,50,"夏晧清,宋世祥,張淑美,楊政融,謝如梅",,,,,,,234567,234567,《講授類》1.限人科學程學生修習2.不開放準大學生修習；本校生修習不收學分費，惟學士班延修生及他校生仍須繳學分費。3.選上即算學期成績，未於選課期間辦理退選又未到課者，有未通過之成績。,,0
,,,化學碩,CHEM546,1,,無機化學書報討論（一）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=3&CrsDat=CHEM546&Crsname=無機化學書報討論（一）,1,期,選,50,0,0,50,蔡明利,,3467,3467,3467,3467,34,,,《演講/參訪》★上課日期：8/7(一)~8/11(五)共計1週。【本課程不開放準大學生修習】,,0
,,,物理碩,PHYS513,1,,凝態物理及應用,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=3&CrsDat=PHYS513&Crsname=凝態物理及應用,2,期,選,50,5,0,50,"郭建成,莊豐權",理PH 1008,234,234,,,,,,《演講/參訪》本課程部份為捷克參訪實習，限已申請通過學生修習，費用需自費。學校至多補助本校生1/4~1/2機票費。上課日期：7/10(一)~8/15(二)，共計6週。【本課程不開放準大學生修習】※英語授課,,1
,,,材光碩,MOES565,0,,高分子奈米材料,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=3&CrsDat=MOES565&Crsname=高分子奈米材料,3,期,選,25,1,0,25,蔣酉旺,,234,234,234,234,234,,,《講授類》本課程為拉脫維亞及德國研修課程，限已申請通過學生修習，費用需自費。上課日期：7/10(一)~8/2(三)共計4週。【本課程不開放準大學生修習】 ※英語授課,,1
,,,企企管碩,BM522,0,,國際策略管理,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=3&CrsDat=BM522&Crsname=國際策略管理,3,期,選,50,8,0,50,林杏娥,管CM 2025,,,,,,2345678C,,《講授類》★上課日期：7/15(六)~8/19(六)，共計6週。【本課程不開放準大學生修習】,,0
,,,資管碩專,MIS949,1,,電子商務專題演講,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=3&CrsDat=MIS949&Crsname=電子商務專題演講,3,期,必,50,0,0,50,康藝晃,管CM 4069,CDE,CDE,,CDE,,,,《演講/參訪》限資管碩專班及電商碩專班修習。★上課日期：7/10(一)~8/17(四)，共計6週。【本課程不開放準大學生修習】,,0
,,,資電碩專,MIS992,1,,電子商務專題演講,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=3&CrsDat=MIS992&Crsname=電子商務專題演講,3,期,必,50,0,0,50,康藝晃,管CM 4069,CDE,CDE,,CDE,,,,《演講/參訪》限資管碩專班及電商碩專班修習。★上課日期：7/10(一)~8/17(四)，共計6週。【本課程不開放準大學生修習】,,0
,,*,EMBA碩專,EMBA967,1,,企業法律環境,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=3&CrsDat=EMBA967&Crsname=企業法律環境,1.5,期,必,50,0,0,50,李清潭,台北,,,,,,34,,《講授類》【本課程不開放準大學生修習】,,0
,,*,EMBA碩專,EMBA997A,1,,全球運籌管理,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=3&CrsDat=EMBA997A&Crsname=全球運籌管理,1.5,期,必,80,0,0,80,李捷,圖資博士廳,,,,,,34,,《講授類》【本課程不開放準大學生修習】,,0
,,*,EMBA碩專,EMBA997B,1,,全球運籌管理,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=3&CrsDat=EMBA997B&Crsname=全球運籌管理,1.5,期,必,50,0,0,50,李捷,台北,,,,,,,56,《講授類》【本課程不開放準大學生修習】,,0
,,,教育碩專,IOE960,0,,當代社會心理學,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=3&CrsDat=IOE960&Crsname=當代社會心理學,3,期,選,50,6,0,50,邱文彬,社SS 2005,,2345679CD,,,,,,《講授類》★上課時間：7月11、18、25日；8月1、8、15日，每週二9:10-12:00、13:10-16:00、17:10-20:05，共6週。【本課程不開放準大學生修習】,,0
,,,EMPP碩專,EMPP921,1,,公共政策與法律,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=3&CrsDat=EMPP921&Crsname=公共政策與法律,3,期,必,50,0,0,50,徐正戎,社SS 4001,,,,,,,234567,《講授類》限EMPP碩專班學生修課【本課程不開放準大學生修習】,,0
,,,EMPP碩專,EMPP933,1,,組織革新與發展,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=3&CrsDat=EMPP933&Crsname=組織革新與發展,3,期,必,50,0,0,50,"劉正山,張其祿,蔣麗君",社SS 4001,,,,,,234567,,《講授類》限EMPP碩專班學生修課 【本課程不開放準大學生修習】,,0
